# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0051260	BP	e	protein homooligomerization	26/244	115/11561	5.995762907502145e-20	7	26	6.211065302816994e-17	G002536, G003976, G004038, G004581, G005687, G005688, G005690, G005721, G006202, G006947, G006949, G013062, G013066, G016039, G018279, G019457, G019465, G019647, G022521, G023073, G023077, G025237, G025944, G027007, G028604, G028609
GO:0051259	BP	e	protein complex oligomerization	27/244	146/11561	2.887232592069385e-18	6	27	2.741667948885887e-15	G002536, G003976, G004038, G004581, G005687, G005688, G005690, G005721, G006202, G006947, G006949, G013062, G013066, G016039, G018279, G019457, G019465, G019647, G022521, G023073, G023077, G023176, G025237, G025944, G027007, G028604, G028609
GO:0006810	BP	e	transport	82/244	1755/11561	3.8724725528801214e-13	3	82	2.7579265462543114e-10	G001189, G002125, G002536, G003940, G003976, G004038, G004581, G004925, G005687, G005688, G005690, G005707, G006947, G006949, G006995, G007815, G008343, G008375, G009028, G009295, G010127, G010158, G011218, G012109, G012274, G012637, G012920, G012974, G013027, G013062, G013066, G013223, G013823, G014293, G014320, G015391, G015392, G015514, G016039, G018279, G019457, G019465, G019608, G019647, G019976, G020437, G020665, G020669, G020945, G021500, G021728, G022166, G022319, G022411, G022618, G022767, G023037, G023073, G023077, G023176, G023368, G023419, G023671, G023672, G024626, G024644, G024670, G024673, G024679, G024692, G025217, G025237, G025369, G025944, G026468, G026989, G027007, G027315, G027668, G028451, G028604, G028609
GO:0099536	BP	e	synaptic signaling	23/244	164/11561	4.936346272725164e-13	5	23	3.124981432094625e-10	G004038, G004925, G007815, G008046, G010127, G011218, G013223, G014293, G014486, G015391, G015392, G016135, G017431, G020437, G021314, G021500, G022319, G023419, G023671, G023672, G023698, G027007, G027315
GO:0099537	BP	e	trans-synaptic signaling	23/244	164/11561	4.936346272725164e-13	6	23	3.124981432094625e-10	G004038, G004925, G007815, G008046, G010127, G011218, G013223, G014293, G014486, G015391, G015392, G016135, G017431, G020437, G021314, G021500, G022319, G023419, G023671, G023672, G023698, G027007, G027315
GO:0007267	BP	e	cell-cell signaling	26/244	234/11561	3.5121592354867593e-12	4	26	1.9150841103372757e-09	G004038, G004925, G007815, G008046, G010127, G010962, G011218, G013223, G014293, G014486, G015391, G015392, G016135, G017431, G019976, G020437, G021314, G021500, G022319, G023419, G023671, G023672, G023698, G027007, G027315, G028095
GO:0098916	BP	e	anterograde trans-synaptic signaling	21/244	147/11561	3.697398019080304e-12	7	21	1.9150841103372757e-09	G004038, G004925, G007815, G008046, G010127, G011218, G013223, G014293, G014486, G015391, G015392, G016135, G017431, G020437, G021500, G022319, G023419, G023671, G023672, G027007, G027315
GO:0007268	BP	e	chemical synaptic transmission	21/244	147/11561	3.697398019080304e-12	8	21	1.9150841103372757e-09	G004038, G004925, G007815, G008046, G010127, G011218, G013223, G014293, G014486, G015391, G015392, G016135, G017431, G020437, G021500, G022319, G023419, G023671, G023672, G027007, G027315
GO:0007186	BP	e	G protein-coupled receptor signaling pathway	34/244	403/11561	3.919393122803639e-12	5	34	1.941803679754238e-09	G000859, G000876, G001102, G001400, G001447, G003673, G006494, G006995, G007815, G008046, G008343, G008375, G009028, G010112, G010236, G010692, G010962, G011218, G012733, G014293, G014320, G014486, G014907, G015514, G016135, G017431, G018530, G019085, G020422, G022319, G022493, G024845, G027417, G028095
GO:0023052	BP	e	signaling	26/244	237/11561	4.7146637389040375e-12	3	26	2.238483054367146e-09	G004038, G004925, G007815, G008046, G010127, G010962, G011218, G013223, G014293, G014486, G015391, G015392, G016135, G017431, G019976, G020437, G021314, G021500, G022319, G023419, G023671, G023672, G023698, G027007, G027315, G028095
