# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0140658	MF	e	ATP-dependent chromatin remodeler activity	14/2037	29/11561	0.00014529346951331918	5	14	0.010342117542713105	G001200, G003814, G004176, G005979, G006447, G011847, G018659, G019751, G021940, G022115, G022282, G024507, G025637, G025642
GO:0004527	MF	e	exonuclease activity	25/2037	68/11561	0.00015841234367806826	5	25	0.010342117542713105	G000576, G000577, G001130, G001354, G005189, G007133, G007270, G010673, G010974, G016378, G016498, G016675, G016676, G016682, G017464, G018143, G019622, G020702, G022268, G023164, G024722, G026003, G026775, G027350, G027709
GO:0003714	MF	e	transcription corepressor activity	25/2037	68/11561	0.00015841234367806826	4	25	0.010342117542713105	G002591, G003423, G005271, G005846, G006271, G010749, G011332, G011505, G013230, G014343, G015602, G016258, G016930, G016935, G017606, G018399, G021722, G022268, G023196, G024914, G025076, G026638, G027068, G028323, G028324
GO:1990841	MF	e	promoter-specific chromatin binding	13/2037	26/11561	0.00016032704796205182	4	13	0.010342117542713105	G001068, G003973, G004282, G006271, G006274, G008980, G011614, G013447, G020175, G023038, G026450, G027188, G028274
GO:0030374	MF	e	nuclear receptor coactivator activity	12/2037	23/11561	0.0001710761549594489	5	12	0.010643180460182108	G006034, G006271, G006274, G016750, G016930, G019114, G022550, G023290, G024464, G024470, G024597, G025129
GO:0140993	MF	e	histone modifying activity	43/2037	141/11561	0.0001985382351714909	3	43	0.012152461330254967	G001115, G001362, G001565, G002270, G003109, G003973, G004110, G004504, G005271, G005473, G006182, G006271, G006274, G006980, G008970, G009332, G009397, G010131, G011120, G011614, G011691, G011842, G012568, G012589, G016458, G016819, G018421, G018931, G020443, G020501, G021197, G021520, G022251, G022557, G023038, G023196, G023694, G026157, G026228, G026503, G026703, G026734, G027009
GO:0003713	MF	e	transcription coactivator activity	44/2037	148/11561	0.0002882388763364168	4	44	0.016381496459903066	G001362, G003574, G004282, G005670, G005832, G005835, G006034, G006271, G006274, G007410, G008870, G009331, G010954, G012589, G014797, G015602, G016040, G016130, G016258, G016421, G016750, G016930, G016935, G018129, G018592, G019114, G019554, G020247, G021069, G021722, G022280, G022550, G022592, G023196, G023290, G024143, G024464, G024470, G024597, G024651, G025129, G026344, G026734, G026977
GO:0050681	MF	e	nuclear androgen receptor binding	9/2037	15/11561	0.0002892121904646918	7	9	0.016381496459903066	G000606, G006271, G006274, G007410, G009397, G012568, G021069, G025568, G026228
GO:0032452	MF	e	histone demethylase activity	11/2037	21/11561	0.00030722322203429305	4	11	0.01648536261799041	G002270, G005271, G006271, G006274, G009397, G012568, G012589, G018421, G022557, G026228, G026503
GO:0141052	MF	e	histone H3 demethylase activity	11/2037	21/11561	0.00030722322203429305	5	11	0.01648536261799041	G002270, G005271, G006271, G006274, G009397, G012568, G012589, G018421, G022557, G026228, G026503
GO:0140457	MF	e	protein demethylase activity	11/2037	21/11561	0.00030722322203429305	3	11	0.01648536261799041	G002270, G005271, G006271, G006274, G009397, G012568, G012589, G018421, G022557, G026228, G026503
