ID	Ec_Head	En_Head	Ec_BodyCol/SC	I_ISC	Ec_Peduncle	Ec_Tentacle	I_FemGC	Ec_BasalDisk	I_Neuro	I_EarlyNem	I_MaleGC	I_En2N	En_Foot	En_BodyCol/SC	I_ZymoGl	I_GlProgen	I_StenoNB	I_DesmoNC	I_IsoNC	I_StenoNC	En_Tentacle	I_Ec1N	I_Ec4N	I_SpumMucGl	I_Ec3N	I_GranGl	I_DesmoNB	I_IsoNB	I_Ec2N	I_Ec1/5N	I_En1N	I_En3N	C_neuron	C_germline	C_nematoblast	C_nematocytes	C_gland_cell	C_progenitor	C_neuroprogenitor	C_EC_foot	C_EN_foot	C_tentacle	C_head	L_ENDODERM	L_ECTODERM	L_INTERSTITIAL
HVAEP1-G000293	1	1	1	1	1		1		1	1		1	1	1	1													1		1			1	1	1	1			1	1	1		1	1	1	1
HVAEP1-G000294	1		1				1			1							1	1										1						1	1	1							1		1	
HVAEP1-G000299	1		1		1	1		1																																1		1	1		1	
HVAEP1-G000301		1									1	1	1	1	1	1								1		1							1	1			1	1			1		1	1		
HVAEP1-G000303	1	1	1	1	1	1	1	1	1	1			1	1		1				1														1		1		1	1	1	1	1	1	1	1	1
HVAEP1-G000304	1	1		1									1	1			1											1							1						1		1	1		1
HVAEP1-G000305	1	1	1		1	1	1						1	1		1					1													1				1		1	1	1	1	1	1	
HVAEP1-G000309	1	1	1		1	1	1						1	1							1													1						1	1	1	1	1	1	
HVAEP1-G000310	1	1				1						1	1	1				1	1	1	1									1		1	1			1					1	1	1	1		
HVAEP1-G000311	1	1	1	1			1		1	1	1		1	1			1									1			1			1	1	1	1	1			1		1		1	1	1	1
HVAEP1-G000312	1	1			1								1	1			1		1		1		1										1		1	1				1	1	1	1	1		
HVAEP1-G000314		1	1		1	1							1							1	1			1	1	1							1			1	1			1	1	1	1		1	
HVAEP1-G000316		1				1							1	1							1																				1	1	1	1		
HVAEP1-G000319	1	1		1		1							1	1																											1	1	1	1		1
HVAEP1-G000323		1											1	1							1																				1	1	1	1		
HVAEP1-G000324				1				1	1								1		1				1								1		1		1	1			1	1						1
HVAEP1-G000325							1																											1												
HVAEP1-G000328		1		1		1	1			1	1		1	1		1		1			1	1	1		1								1	1		1		1			1	1	1	1		1
HVAEP1-G000332			1	1	1					1				1										1												1	1			1				1	1	1
HVAEP1-G000338		1											1	1							1																				1	1	1	1		
HVAEP1-G000342	1	1	1		1	1		1					1	1							1																			1	1	1	1	1	1	
HVAEP1-G000345	1	1			1	1		1					1	1					1																	1				1	1	1	1	1		
HVAEP1-G000351	1		1		1	1			1																														1	1		1	1		1	
HVAEP1-G000352		1											1	1							1																				1	1	1	1		
HVAEP1-G000354	1	1	1										1	1						1	1															1					1	1	1	1	1	
HVAEP1-G000358	1	1						1				1	1	1							1												1							1	1	1	1	1		
HVAEP1-G000367		1											1	1					1																	1					1		1	1		
HVAEP1-G000368	1	1				1							1	1							1																				1	1	1	1		
HVAEP1-G000371	1	1	1			1				1	1	1	1	1			1		1	1	1								1				1	1	1	1					1	1	1	1	1	
HVAEP1-G000375	1					1		1							1																	1	1							1		1	1			
HVAEP1-G000376		1			1								1	1							1																			1	1	1	1	1		
HVAEP1-G000380	1	1	1				1						1	1			1			1									1				1	1	1	1					1		1	1	1	
HVAEP1-G000381		1			1		1							1							1						1							1	1					1		1	1	1		
HVAEP1-G000382	1		1	1	1	1	1	1	1				1	1		1					1			1										1			1	1	1	1	1	1	1	1	1	1
HVAEP1-G000383	1	1	1	1			1	1		1	1		1	1	1				1	1														1		1				1	1		1	1	1	1
HVAEP1-G000384		1											1	1							1																				1	1	1	1		
HVAEP1-G000385			1		1		1					1	1	1	1						1		1										1	1						1	1	1		1	1	
HVAEP1-G000386		1											1	1							1																				1	1	1	1		
HVAEP1-G000392		1											1	1							1																				1	1	1	1		
HVAEP1-G000393			1										1	1																											1			1	1	
HVAEP1-G000394		1		1			1		1	1	1		1	1		1	1		1	1												1	1	1	1	1		1	1		1		1	1		1
HVAEP1-G000397			1																										1				1												1	
HVAEP1-G000401	1	1	1		1	1	1	1					1	1							1													1						1	1	1	1	1	1	
HVAEP1-G000406			1		1				1		1			1	1		1		1	1		1	1						1	1			1	1	1	1			1	1				1	1	
HVAEP1-G000407			1	1	1	1	1	1		1	1			1	1	1			1	1						1								1		1		1		1		1		1	1	1
