ID	CLS
HVAEP1-G000060	En_Head
HVAEP1-G000060	Ec_BodyCol/SC
HVAEP1-G000060	I_ZymoGl
HVAEP1-G000060	I_ISC
HVAEP1-G000060	Ec_Peduncle
HVAEP1-G000060	Ec_Tentacle
HVAEP1-G000060	I_FemGC
HVAEP1-G000060	Ec_BasalDisk
HVAEP1-G000060	I_GranGl
HVAEP1-G000060	I_MaleGC
HVAEP1-G000060	I_IsoNC
HVAEP1-G000061	Ec_Head
HVAEP1-G000061	En_Foot
HVAEP1-G000061	En_BodyCol/SC
HVAEP1-G000061	En_Head
HVAEP1-G000061	Ec_BodyCol/SC
HVAEP1-G000061	En_Tentacle
HVAEP1-G000061	I_ISC
HVAEP1-G000061	Ec_Tentacle
HVAEP1-G000061	I_FemGC
HVAEP1-G000061	I_GlProgen
HVAEP1-G000061	I_Neuro
HVAEP1-G000061	I_EarlyNem
HVAEP1-G000061	I_StenoNC
HVAEP1-G000061	I_En2N
HVAEP1-G000062	Ec_Head
HVAEP1-G000062	En_Foot
HVAEP1-G000062	En_BodyCol/SC
HVAEP1-G000062	En_Head
HVAEP1-G000062	Ec_BodyCol/SC
HVAEP1-G000062	Ec_Peduncle
HVAEP1-G000062	Ec_Tentacle
HVAEP1-G000062	Ec_BasalDisk
HVAEP1-G000062	I_En1N
HVAEP1-G000065	Ec_Head
HVAEP1-G000065	En_Foot
HVAEP1-G000065	En_BodyCol/SC
HVAEP1-G000065	En_Head
HVAEP1-G000065	Ec_BodyCol/SC
HVAEP1-G000065	En_Tentacle
HVAEP1-G000065	Ec_Peduncle
HVAEP1-G000065	Ec_Tentacle
HVAEP1-G000066	Ec_Head
HVAEP1-G000066	En_Foot
HVAEP1-G000066	En_BodyCol/SC
HVAEP1-G000066	En_Head
HVAEP1-G000066	Ec_BodyCol/SC
HVAEP1-G000066	Ec_Peduncle
HVAEP1-G000066	Ec_Tentacle
HVAEP1-G000066	Ec_BasalDisk
HVAEP1-G000068	Ec_Head
HVAEP1-G000068	Ec_BodyCol/SC
HVAEP1-G000068	I_ISC
HVAEP1-G000068	Ec_Peduncle
HVAEP1-G000068	Ec_Tentacle
HVAEP1-G000068	I_FemGC
HVAEP1-G000068	I_EarlyNem
HVAEP1-G000068	I_MaleGC
HVAEP1-G000068	I_DesmoNC
HVAEP1-G000068	I_DesmoNB
HVAEP1-G000068	I_Ec1N
HVAEP1-G000068	I_Ec3N
HVAEP1-G000069	Ec_Head
HVAEP1-G000069	En_Foot
HVAEP1-G000069	En_BodyCol/SC
HVAEP1-G000069	En_Head
HVAEP1-G000069	Ec_BodyCol/SC
HVAEP1-G000069	En_Tentacle
HVAEP1-G000069	Ec_Peduncle
HVAEP1-G000069	Ec_Tentacle
HVAEP1-G000069	Ec_BasalDisk
HVAEP1-G000069	I_MaleGC
HVAEP1-G000069	I_SpumMucGl
HVAEP1-G000072	En_Foot
HVAEP1-G000072	En_BodyCol/SC
HVAEP1-G000072	En_Head
HVAEP1-G000072	Ec_BodyCol/SC
HVAEP1-G000072	En_Tentacle
HVAEP1-G000072	Ec_Peduncle
HVAEP1-G000072	I_FemGC
HVAEP1-G000073	Ec_Head
HVAEP1-G000073	Ec_BodyCol/SC
HVAEP1-G000073	En_Tentacle
HVAEP1-G000073	I_ISC
HVAEP1-G000073	I_FemGC
HVAEP1-G000073	Ec_BasalDisk
HVAEP1-G000073	I_Neuro
HVAEP1-G000073	I_GranGl
HVAEP1-G000073	I_EarlyNem
HVAEP1-G000073	I_MaleGC
HVAEP1-G000073	I_StenoNB
HVAEP1-G000073	I_SpumMucGl
HVAEP1-G000073	I_StenoNC
HVAEP1-G000073	I_En1N
HVAEP1-G000075	En_Foot
HVAEP1-G000075	En_BodyCol/SC
HVAEP1-G000075	En_Head
HVAEP1-G000076	En_Foot
HVAEP1-G000076	En_BodyCol/SC
HVAEP1-G000076	En_Head
HVAEP1-G000076	En_Tentacle
HVAEP1-G000078	En_Foot
HVAEP1-G000078	En_BodyCol/SC
HVAEP1-G000078	En_Head
HVAEP1-G000078	Ec_BodyCol/SC
HVAEP1-G000078	En_Tentacle
HVAEP1-G000078	Ec_Tentacle
HVAEP1-G000078	I_FemGC
HVAEP1-G000078	I_GlProgen
HVAEP1-G000078	I_SpumMucGl
HVAEP1-G000078	I_DesmoNC
HVAEP1-G000078	I_IsoNC
HVAEP1-G000078	I_IsoNB
HVAEP1-G000078	I_Ec4N
HVAEP1-G000078	I_Ec1/5N
HVAEP1-G000079	Ec_Head
HVAEP1-G000079	En_Foot
HVAEP1-G000079	En_BodyCol/SC
HVAEP1-G000079	En_Head
HVAEP1-G000079	Ec_BodyCol/SC
HVAEP1-G000079	I_ZymoGl
HVAEP1-G000079	I_ISC
HVAEP1-G000079	Ec_Peduncle
HVAEP1-G000079	I_FemGC
HVAEP1-G000079	I_GlProgen
HVAEP1-G000079	Ec_BasalDisk
HVAEP1-G000079	I_Neuro
HVAEP1-G000079	I_SpumMucGl
HVAEP1-G000080	Ec_Head
HVAEP1-G000080	En_Head
HVAEP1-G000080	Ec_BodyCol/SC
HVAEP1-G000080	Ec_Peduncle
HVAEP1-G000080	I_FemGC
HVAEP1-G000080	Ec_BasalDisk
HVAEP1-G000080	I_DesmoNC
HVAEP1-G000080	I_Ec4N
HVAEP1-G000080	I_Ec1/5N
HVAEP1-G000080	I_Ec2N
HVAEP1-G000081	I_ISC
HVAEP1-G000081	Ec_Peduncle
HVAEP1-G000081	Ec_Tentacle
HVAEP1-G000081	I_FemGC
HVAEP1-G000081	I_Neuro
HVAEP1-G000081	I_EarlyNem
HVAEP1-G000081	I_DesmoNC
HVAEP1-G000081	I_IsoNC
HVAEP1-G000081	I_StenoNC
HVAEP1-G000081	I_Ec1N
HVAEP1-G000081	I_Ec3N
HVAEP1-G000081	I_Ec1/5N
HVAEP1-G000081	I_Ec2N
HVAEP1-G000081	I_En1N
HVAEP1-G000081	I_En3N
HVAEP1-G000082	I_SpumMucGl
HVAEP1-G000082	I_IsoNB
HVAEP1-G000082	I_Ec3N
HVAEP1-G000082	I_En3N
HVAEP1-G000084	Ec_Head
HVAEP1-G000084	En_BodyCol/SC
HVAEP1-G000084	En_Head
HVAEP1-G000084	Ec_BodyCol/SC
HVAEP1-G000084	En_Tentacle
HVAEP1-G000084	I_FemGC
HVAEP1-G000084	I_EarlyNem
HVAEP1-G000084	I_MaleGC
HVAEP1-G000084	I_SpumMucGl
HVAEP1-G000087	Ec_Head
HVAEP1-G000087	En_BodyCol/SC
HVAEP1-G000087	En_Head
HVAEP1-G000087	Ec_BodyCol/SC
HVAEP1-G000087	I_ISC
HVAEP1-G000087	Ec_Peduncle
HVAEP1-G000087	Ec_Tentacle
HVAEP1-G000087	I_FemGC
HVAEP1-G000087	I_GlProgen
HVAEP1-G000087	Ec_BasalDisk
HVAEP1-G000087	I_Neuro
HVAEP1-G000087	I_EarlyNem
HVAEP1-G000087	I_StenoNC
HVAEP1-G000087	I_Ec1/5N
HVAEP1-G000091	Ec_Head
HVAEP1-G000091	Ec_BodyCol/SC
HVAEP1-G000091	En_Tentacle
HVAEP1-G000091	I_ZymoGl
HVAEP1-G000091	I_ISC
HVAEP1-G000091	I_FemGC
