ID	Ec_Head	En_Head	Ec_BodyCol/SC	I_ISC	Ec_Peduncle	Ec_Tentacle	I_FemGC	Ec_BasalDisk	I_Neuro	I_EarlyNem	I_MaleGC	I_En2N	En_Foot	En_BodyCol/SC	I_ZymoGl	I_GlProgen	I_StenoNB	I_DesmoNC	I_IsoNC	I_StenoNC	En_Tentacle	I_Ec1N	I_Ec4N	I_SpumMucGl	I_Ec3N	I_GranGl	I_DesmoNB	I_IsoNB	I_Ec2N	I_Ec1/5N	I_En1N	I_En3N	C_neuron	C_germline	C_nematoblast	C_nematocytes	C_gland_cell	C_progenitor	C_neuroprogenitor	C_EC_foot	C_EN_foot	C_tentacle	C_head	L_ENDODERM	L_ECTODERM	L_INTERSTITIAL
HVAEP1-G000924																																					1							1		
HVAEP1-G000925																																														
HVAEP1-G000926																																														
HVAEP1-G000927																																														
HVAEP1-G000931																																													1	
HVAEP1-G000933																																														
HVAEP1-G000934																																												1		
HVAEP1-G000936																																	1													
HVAEP1-G000937																																													1	
HVAEP1-G000938																																												1		
HVAEP1-G000941																																														
HVAEP1-G000942																																														
HVAEP1-G000944																																														
HVAEP1-G000945																																														
HVAEP1-G000946																																													1	
HVAEP1-G000947																																													1	
HVAEP1-G000950																																														
HVAEP1-G000951																																														
HVAEP1-G000952																																														
HVAEP1-G000953																																														
HVAEP1-G000954																																														
HVAEP1-G000955																																														
HVAEP1-G000956																																														
HVAEP1-G000957																																														1
HVAEP1-G000959																																														
HVAEP1-G000961																																														1
HVAEP1-G000963																																														
HVAEP1-G000964																																												1		
HVAEP1-G000970																																														
HVAEP1-G000971																																													1	
HVAEP1-G000972																																														
HVAEP1-G000974							1																											1												
HVAEP1-G000975																																														
HVAEP1-G000976																																														
HVAEP1-G000977																																													1	
HVAEP1-G000978																																														
HVAEP1-G000979																																												1		
HVAEP1-G000980																																														
HVAEP1-G000981																																														
HVAEP1-G000982																																														
HVAEP1-G000984																																												1		
HVAEP1-G000985																																	1													
HVAEP1-G000986																																														
HVAEP1-G000987																																														
HVAEP1-G000988																																												1		
HVAEP1-G000990																																														1
HVAEP1-G000993																																														1
HVAEP1-G000994																																														
HVAEP1-G000995																																														
HVAEP1-G000996																																												1		
HVAEP1-G000997																																														
HVAEP1-G000998																																														
HVAEP1-G000999						1																																				1				
HVAEP1-G001001																																														1
HVAEP1-G001003																																														
HVAEP1-G001006																																														
HVAEP1-G001007																																														
HVAEP1-G001009																																														
HVAEP1-G001010																																														
HVAEP1-G001011																																														
HVAEP1-G001016																																													1	
HVAEP1-G001021																																														
HVAEP1-G001029																																														
HVAEP1-G001030																																														
HVAEP1-G001032																																														
HVAEP1-G001033																																										1				
HVAEP1-G001036																																														
HVAEP1-G001037																																														
HVAEP1-G001038																																														1
HVAEP1-G001039																																														
HVAEP1-G001040																																														
HVAEP1-G001041																																														
HVAEP1-G001042																																													1	
HVAEP1-G001043																																													1	
HVAEP1-G001044																																														
HVAEP1-G001045																																														
HVAEP1-G001046																																												1		
HVAEP1-G001054																																														
HVAEP1-G001058																																														
HVAEP1-G001060																																														1
HVAEP1-G001061																																												1		
HVAEP1-G001063																																														
HVAEP1-G001064																																														
HVAEP1-G001065																																														
HVAEP1-G001067																																														
HVAEP1-G001068																																														1
HVAEP1-G001069																																														
HVAEP1-G001070																																													1	
HVAEP1-G001071																																													1	
HVAEP1-G001072																																													1	
HVAEP1-G001074																																													1	
HVAEP1-G001075																																													1	
HVAEP1-G001076																																														1
HVAEP1-G001077																																														
HVAEP1-G001078																																													1	
HVAEP1-G001079																																				1										
HVAEP1-G001081																																														
HVAEP1-G001082																																													1	
HVAEP1-G001083																																														
HVAEP1-G001084																																														
HVAEP1-G001085																																														1
HVAEP1-G001086																																												1		
HVAEP1-G001087																																														
HVAEP1-G001089																																													1	
HVAEP1-G001090																																												1		
HVAEP1-G001092																																														
HVAEP1-G001093																																														
HVAEP1-G001094																																														
HVAEP1-G001098																																														
HVAEP1-G001101																																														
HVAEP1-G001102																																														
HVAEP1-G001103																																												1		
HVAEP1-G001105																																												1		
HVAEP1-G001106																																													1	
HVAEP1-G001107																																												1		
HVAEP1-G001109																																														1
HVAEP1-G001110																																														
HVAEP1-G001111																																													1	
HVAEP1-G001112																																													1	
HVAEP1-G001113																																													1	
HVAEP1-G001114																																														
HVAEP1-G001115																																														
HVAEP1-G001116																																														
HVAEP1-G001117																																														
HVAEP1-G001119								1																																1						
HVAEP1-G001120																																														1
HVAEP1-G001121																																														1
HVAEP1-G001122																																														
HVAEP1-G001123																																														
HVAEP1-G001124																																														
HVAEP1-G001127																																												1		
HVAEP1-G001130																																														
HVAEP1-G001131																																														
HVAEP1-G001132																																													1	
HVAEP1-G001133																																														
HVAEP1-G001134																																														
HVAEP1-G001135																																														
HVAEP1-G001136																																														
HVAEP1-G001137																																														
HVAEP1-G001138								1																																1						
HVAEP1-G001139																																													1	
HVAEP1-G001147																																														
HVAEP1-G001149																																													1	
HVAEP1-G001150																																													1	
HVAEP1-G001157																																														
HVAEP1-G001159																																														
HVAEP1-G001160																																														
HVAEP1-G001161																																														
HVAEP1-G001162																																														
HVAEP1-G001163																																												1		
HVAEP1-G001164																																														
HVAEP1-G001165																																														
HVAEP1-G001166																																												1		
HVAEP1-G001167																																												1		
HVAEP1-G001169																																														
HVAEP1-G001173																																														
HVAEP1-G001174																																												1		
HVAEP1-G001177																																														
HVAEP1-G001179																																													1	
HVAEP1-G001185																																														
HVAEP1-G001187																																														
HVAEP1-G001188																																														
HVAEP1-G001189																																														
HVAEP1-G001190																																														
HVAEP1-G001191																																														
HVAEP1-G001192																																														
HVAEP1-G001193																																														
HVAEP1-G001194																																														
HVAEP1-G001195																																														
HVAEP1-G001196																																														
